Ticker,Company,Sector,Investor_Relations_URL,Last_Updated
MMM,3M,,https://investors.3m.com,2025-10-04 14:57:47
AXP,American Express,Financial services,https://ir.americanexpress.com,2025-10-04 14:57:47
AMGN,Amgen,,https://investors.amgen.com,2025-10-04 14:57:47
AMZN,Amazon,,https://ir.aboutamazon.com,2025-10-04 14:57:47
AAPL,Apple,Information technology,https://investor.apple.com,2025-10-04 14:57:47
BA,Boeing,,https://investors.boeing.com,2025-10-04 14:57:47
CAT,Caterpillar,,https://investors.caterpillar.com,2025-10-04 14:57:47
CVX,Chevron,,https://www.chevron.com/investors,2025-10-04 14:57:47
CSCO,Cisco,Information technology,https://investor.cisco.com,2025-10-04 14:57:47
KO,Coca-Cola,,https://investors.coca-colacompany.com,2025-10-04 14:57:47
DIS,Disney,,https://thewaltdisneycompany.com/investor-relations,2025-10-04 14:57:47
GS,Goldman Sachs,Financial services,https://www.goldmansachs.com/investor-relations,2025-10-04 14:57:47
HD,Home Depot,,https://ir.homedepot.com,2025-10-04 14:57:47
HON,Honeywell,,https://investor.honeywell.com,2025-10-04 14:57:47
IBM,IBM,Information technology,https://www.ibm.com/investor,2025-10-04 14:57:47
JNJ,Johnson & Johnson,,https://investor.jnj.com,2025-10-04 14:57:47
JPM,JPMorgan Chase,Financial services,https://www.jpmorganchase.com/ir,2025-10-04 14:57:47
MCD,McDonald's,,https://investor.mcdonalds.com,2025-10-04 14:57:47
MRK,Merck,,https://investors.merck.com,2025-10-04 14:57:47
MSFT,Microsoft,Information technology,https://www.microsoft.com/investor,2025-10-04 14:57:47
NKE,Nike,,https://investors.nike.com,2025-10-04 14:57:47
NVDA,Nvidia,Information technology,https://investor.nvidia.com,2025-10-04 14:57:47
PG,Procter & Gamble,Fast-moving consumer goods,https://www.pginvestor.com,2025-10-04 14:57:47
CRM,Salesforce,Information technology,https://investor.salesforce.com,2025-10-04 14:57:47
SHW,Sherwin-Williams,,https://investors.sherwin-williams.com,2025-10-04 14:57:47
TRV,"Travelers Companies, Inc.",,https://investor.travelers.com,2025-10-04 14:57:47
UNH,UnitedHealth Group,,https://www.unitedhealthgroup.com/investors,2025-10-04 14:57:47
VZ,Verizon,,https://www.verizon.com/about/investors,2025-10-04 14:57:47
V,Visa,Financial services,https://investor.visa.com,2025-10-04 14:57:47
WMT,Walmart,,https://stock.walmart.com,2025-10-04 14:57:47
